source,target,source_name,target_name,action,repoint_to,reason,status,new_confidence
Q1147708,Q15987180,Choki Motobu,Chozo Nakama,keep,,"[book:Bishop p.117] corroborated by Bishop's own interview record; raise medium -> high. Edge 'Choki Motobu -> Chozo Nakama (medium)' exists; first-hand detail (three years, Naihanchi, sparring) supp",proposed,high
C00003,Q3194253,Anbun Tokuda,Katsuya Miyahira,keep,,[book:Bishop p.110-111] corroborated by Bishop's own interview record; raise medium -> high. Edge 'Anbun Tokuda -> Katsuya Miyahira (medium)' exists; interview supports upgrading confidence.,proposed,high
Q38585428,C00574,Shigeru Nakamura,Taketo Nakamura,keep,,[book:Bishop p.149] corroborated by Bishop's own interview record; raise medium -> high. Edge 'Shigeru Nakamura -> Taketo Nakamura (medium)' exists.,proposed,high
C00449,C00275,Sanda Chinen,Seiichiro Higa,keep,,[book:Bishop p.159] corroborated by Bishop's own interview record; raise low -> high. Edge 'Sanda Chinen -> Seiichiro Higa (low)' exists; interview supports upgrading confidence.,proposed,high
C00639,Q699236,Wai Shin Zan,Kanryo Higaonna,keep,,[book:Bishop p.27] corroborated by Bishop's own interview record; raise medium -> high. Edge exists as 'Wai Shin Zan -> Kanryo Higaonna' (medium); Wan/Wai Shin Zan same person.,proposed,high
Q1728269,C00480,Kanei Uechi,Seiki Itokazu,keep,,[book:Bishop p.43-44] corroborated by Bishop's own interview record; raise low -> high. Edge exists: Kanei Uechi -> Seiki Itokazu (low); book raises confidence.,proposed,high
C00639,C00564,Wai Shin Zan,Taitei Kojo,keep,,[book:Bishop p.48] corroborated by Bishop's own interview record; raise medium -> high. Edge exists: Wai Shin Zan -> Taitei Kojo (medium).,proposed,high
C00094,Q15987228,Jiro Shiroma,Yuchoku Higa,keep,,[book:Bishop p.113] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium); book raises confidence.,proposed,high
Q1728269,C00507,Kanei Uechi,Shigeru Takamiyagi,keep,,[book:Bishop p.43] corroborated by Bishop's own interview record; raise medium -> high. Edge exists: Kanei Uechi -> Shigeru Takamiyagi (medium).,proposed,high
Q1728269,C00200,Kanei Uechi,Mario Topolsek,keep,,[book:Bishop p.43] corroborated by Bishop's own interview record; raise medium -> high. Edge exists: Kanei Uechi -> Mario Topolsek (medium).,proposed,high
C00108,C00263,Kaho Kojo,Saikyo Kojo,keep,,"[book:Bishop p.48] corroborated by Bishop's own interview record; raise low -> high. Edge exists: Kaho Kojo -> Saikyo Kojo (low); book raises confidence (interview, father-son).",proposed,high
Q3482287,C00129,Shinpan Gusukuma,Horoku Ishikawa,keep,,"[book:Bishop p.108] corroborated by Bishop's own interview record; raise medium -> high. Shinpan Shiroma = Shinpan Gusukuma (same kanji, alternative reading). Edge exists: Shinpan Gusukuma -> Horoku ",proposed,high
A0018,C00550,Tachimura no Peichin,Soko Kishimoto,keep,,"[book:Bishop p.170] corroborated by Bishop's own interview record; raise low -> high. Takemura = Tachimura no Peichin (A0018, 1814-1899; book's 'died aged 85' fits exactly). Edge exists: Tachimura",proposed,high
Q7447367,C00032,Seko Higa,Eikichi Fukumoto,keep,,[book:Bishop p.37] corroborated by Bishop's own interview record; raise low -> high. Edge Seko Higa -> Eikichi Fukumoto exists (low); book raises confidence.,proposed,high
Q1728269,C00197,Kanei Uechi,Kansei Uechi,keep,,[book:Bishop p.43] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium).,proposed,high
C00263,C00107,Saikyo Kojo,Kafu Kojo,keep,,[book:Bishop p.48] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium).,proposed,high
C00542,C00107,Shuren Kojo,Kafu Kojo,keep,,"[book:Bishop p.49] corroborated by Bishop's own interview record; raise low -> high. Uncle identified as Shuren Kojo from the p48 passage ('Kafu Kojo's father and uncle, Shuren Kojo, took over th",proposed,high
Q221121,Q15987228,Chojun Miyagi,Yuchoku Higa,keep,,[book:Bishop p.113] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium); book quote is informal correction rather than formal tuition.,proposed,high
Q921673,A0125,Kanga Sakukawa,Chinen Umikana,keep,,"[book:Bishop p.154] corroborated by Bishop's own interview record; raise low -> high. Sakugawa Satunushi = Tode Sakugawa = Kanga Sakukawa. Chinen Pechin identified as Chinen Umikana (1797-1881, Ya",proposed,high
C00275,C00035,Seiichiro Higa,Eisuke Akamine,keep,,[book:Bishop p.159] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium). Co-teacher Kisuke Higa (C00250) -> Akamine is not in the edge list.,proposed,high
C00478,C00494,Seikichi Uehara,Seitoku Higa,keep,,[book:Bishop p.170] corroborated by Bishop's own interview record; raise medium -> high. Edge exists (medium); book adds five-year duration and weapons content.,proposed,high
C00355,Q38585428,Teiichi Nakamura,Shigeru Nakamura,keep,,[research:http://web.archive.org/web/20240417123727/https://ryukyu-bugei.com/?p=3089] corroborated by documented scholarship (Quast / Motobu Naoki); raise low -> medium. Edge exists but at LOW confidence; Quast's biography supports raising ,proposed,medium
Q723832,Q15987228,Shinken Taira,Yuchoku Higa,keep,,"[research:https://ryukyu-bugei.com/?p=5186] corroborated by documented scholarship (Quast / Motobu Naoki); raise low -> medium. Edge exists but low confidence; quote describes 'students and friends', so Higa may be a friend rath",proposed,medium
