name,native,variants,family,styles,level,renamed_from,meaning,era,origin_person,origin_place,modifier,modified_era,introduced_by,disputed,provenance,sources
Koryo,고려 / 高麗,Koryeo; Original Koryo (1967 version),korean,kukki-taekwondo|taekwondo,middle,,"The Goryeo dynasty (918-1392) and the seonbae spirit of the scholar-warrior who resisted the Mongols. The performance line traces the hanja 士 (seonbi, 'scholar'), signifying the learned man of conviction.",Current version created 1971-1972 (original 1967 version superseded),Korea Taekwondo Association poomsae committee (1971-72),"Seoul, South Korea",Kukkiwon Textbook editorial revisions,1975 onwards; details clarified in successive Kukkiwon Textbook editions,Lee Chong-woo (created); Bae Young-ki (created); Han Young-tae (created); Kwak Kun-sik (created); Park Hae-man (created); Lee Kyo-yoon (created),yes,Original composition. First dan poomsae; note it replaced a same-named 1967 form of entirely different content.,"Kukkiwon Textbook | Kidokwan, 'A Modern History of Taekwondo' | jungdokwan-taekwondo.blogspot.com (2020)"
Kwang-Gae,광개 / 廣開,Kwang-Gae tul,korean,itf-taekwondo|taekwondo|gtf|itf-chang-ung|itf-choi-jung-hwa|itf-weiler,middle,,"Named for Gwanggaeto the Great, 19th king of Goguryeo, who recovered the lost territories including most of Manchuria. 39 movements refer to the first two figures of 391 AD, the year he took the throne; the diagram represents the expansion and recovery of lost territory.","1962-1964, while Choi was ambassador to Malaysia",Choi Hong-hi with the Malaysia-period pattern team,South Korea,Choi Hong-hi,Published 1965; revised with sine-wave in the 1983 Encyclopedia,Choi Hong-hi (created); Kim Bok-man (created); Woo Jae-lim (created),yes,"Original Chang Hon composition, worked out in Kuala Lumpur during Choi's ambassadorship.","Choi Hong-hi, Encyclopedia of Taekwon-Do (1983) | Kim Bok Man, Practical Taekwondo (2015) | ITF pioneers page, itftkd.sport"
Moon-Moo,문무 / 文武,Moon-Moo tul,korean,itf-taekwondo|taekwondo|gtf|itf-chang-ung|itf-choi-jung-hwa|itf-weiler,senior,,"Named for King Munmu, 30th monarch of the Silla dynasty. 61 movements refer to the last two figures of 661 AD, the year he came to the throne. His body was buried near Dae Wang Am (Great King's Rock) after he asked, in his will, that his body be placed in the sea so that his spirit might for ever defend Korea against Japanese aggression.","1962-1964, Malaysia period",Choi Hong-hi with the Malaysia-period pattern team,South Korea,Choi Hong-hi,1965; revised 1983,Choi Hong-hi (created); Kim Bok-man (created); Woo Jae-lim (created),yes,Original Chang Hon composition.,"Choi Hong-hi, Encyclopedia of Taekwon-Do (1983) | Kim Bok Man, Practical Taekwondo (2015)"
Narae,나래,,korean,kukki-taekwondo|taekwondo,,,'Wings'. Competition poomsae for competitors in their 50s and 60s.,Announced September 2016,Kukkiwon and Asian Taekwondo Union joint development committee,,Kukkiwon technical committee,2016-2018,Kukkiwon technical committee (individual authors not published) (created),,Newly composed competition poomsae.,"Kukkiwon / Asian Taekwondo Union announcement, September 2016"
Nareusya,나르샤,,korean,kukki-taekwondo|taekwondo,,,"'Flying upward', from the archaic Korean of the Yongbieocheonga. Competition poomsae for competitors aged 18 to 30.",Announced September 2016,Kukkiwon and Asian Taekwondo Union joint development committee,,Kukkiwon technical committee,2016-2018,Kukkiwon technical committee (individual authors not published) (created),,"Newly composed competition poomsae, kicking-intensive.","Kukkiwon / Asian Taekwondo Union announcement, September 2016"
O Sip Sa Bo,오십사보 (五十四步),Gojushiho; Oh Sip Sa Bo; Useishi,korean,tang-soo-do|soo-bahk-do|moo-duk-kwan,senior,,"'Fifty-four steps': direct Korean reading of Gojushiho (五十四歩), the number 54 having Buddhist significance (half of 108); the kata's flowing, drunken-crane movements are among the most advanced in the Shuri-te canon.",19th century; in Korea from mid-1940s,Shuri-te transmission via Sokon Matsumura and Anko Itosu,"Shuri, Okinawa; brought to Seoul, Korea",,,Anko Itosu (standardised); Hwang Kee (brought),,"The highest classical karate-derived hyung in Moo Duk Kwan Tang Soo Do/Soo Bahk Do, deriving from Useishi/Gojushiho of the Matsumura-Itosu line as transmitted in Japanese karate. Korean recension of Gojushiho, taught at 4th dan and above.",https://en.wikipedia.org/wiki/Gojushiho | https://en.wikipedia.org/wiki/Tang_Soo_Do
Old Koryo (Koryo Il Jang),고려 1장 / 高麗 一章,,korean,chung-do-kwan|jung-do-kwan|kukki-taekwondo|taekwondo,middle,,"'Koryo' names the Goryeo dynasty (918-1392), from which the Western name 'Korea' derives, and the seonbae warrior-scholar spirit that repelled the Mongol invasions.",Created 1965-1967; adopted 1967; superseded by the new Koryo in 1972,Korea Taekwondo Association poomsae committee (1965-67),,"Superseded, not modified: the 1971-72 committee wrote an entirely new Koryo rather than revise this one",1972,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),yes,"Original KTA composition, companion to the Palgwae series. Survives in Jung Do Kwan and other conservative lineages and in some overseas Chung Do Kwan schools; largely extinct in mainstream Kukki taekwondo.","'The Original Koryo Hyung Part 1', jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo'"
Onnuri,온누리,,korean,kukki-taekwondo|taekwondo,,,'The whole world'. Competition poomsae for competitors in their 50s and 60s.,Announced September 2016,Kukkiwon and Asian Taekwondo Union joint development committee,,Kukkiwon technical committee,2016-2018,Kukkiwon technical committee (individual authors not published) (created),,Newly composed competition poomsae.,"Kukkiwon / Asian Taekwondo Union announcement, September 2016 | Taekwondo Wiki, 'Bikkak and Hanryu'"
Palgwae Chil Jang,팔괘 7장 / 八卦 七章,,korean,kukki-taekwondo|taekwondo|chang-moo-kwan|chung-do-kwan|han-moo-kwan|ji-do-kwan|jung-do-kwan|song-moo-kwan,junior,,"Trigram Gan (간, ☶), mountain. Ponderousness and stability; movement halted with finality.",1965-1967; adopted 1967; superseded 1972,Korea Taekwondo Association poomsae committee (1965-67),,None; replaced rather than revised,Frozen 1967,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),,Original KTA composition.,"jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo'"
Palgwae Ee Jang,팔괘 2장 / 八卦 二章,,korean,kukki-taekwondo|taekwondo|chang-moo-kwan|chung-do-kwan|han-moo-kwan|ji-do-kwan|jung-do-kwan|song-moo-kwan,junior,,"Trigram Tae (태, ☱), joyfulness, the lake. Firmness within, softness without; movements should be performed with inner calm and confidence.",1965-1967; adopted 1967; superseded 1972,Korea Taekwondo Association poomsae committee (1965-67),,None; replaced rather than revised,Frozen 1967,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),,"Original KTA composition, Shotokan-derived vocabulary.","jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo'"
Palgwae Il Jang,팔괘 1장 / 八卦 一章,,korean,chang-moo-kwan|chung-do-kwan|han-moo-kwan|jung-do-kwan|kukki-taekwondo|song-moo-kwan|taekwondo|ji-do-kwan,junior,,"Trigram Keon (건, ☰), heaven and light, the pure yang. As the origin of all things it is the first and most basic of the set.",Developed 1965-1967; adopted by the KTA 1967; superseded 1972,"Korea Taekwondo Association poomsae committee (1965-67), chaired collectively by five kwans",,"Retained unchanged by the ITF-independent Kukkiwon dissenters; never revised by the KTA, which replaced rather than amended the series",Frozen in 1967; replaced by Taegeuk Il Jang in 1972,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),yes,"Newly composed for the unified KTA curriculum, drawing on Shotokan-derived Chung Do Kwan and Song Moo Kwan basics. No Okinawan kata antecedent.","'The Original Koryo Hyung Part 1', jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo' | Kukkiwon Textbook"
Palgwae Oh Jang,팔괘 5장 / 八卦 五章,,korean,kukki-taekwondo|taekwondo|chang-moo-kwan|chung-do-kwan|han-moo-kwan|ji-do-kwan|jung-do-kwan|song-moo-kwan,junior,,"Trigram Seon (손, ☴), wind. Both gentle and destructive; humility and penetrating persistence.",1965-1967; adopted 1967; superseded 1972,Korea Taekwondo Association poomsae committee (1965-67),,None; replaced rather than revised,Frozen 1967,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),,Original KTA composition.,"jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo'"
Palgwae Pal Jang,팔괘 8장 / 八卦 八章,,korean,kukki-taekwondo|taekwondo|chang-moo-kwan|chung-do-kwan|han-moo-kwan|ji-do-kwan|jung-do-kwan|song-moo-kwan,junior,,"Trigram Gon (곤, ☷), earth, the pure yin. Receptivity and the nurturing ground on which everything takes root; the last of the gup-grade set, immediately before black belt.",1965-1967; adopted 1967; superseded 1972,Korea Taekwondo Association poomsae committee (1965-67),,None; replaced rather than revised,Frozen 1967,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),,Original KTA composition.,"jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo'"
Palgwae Sa Jang,팔괘 4장 / 八卦 四章,,korean,kukki-taekwondo|taekwondo|chang-moo-kwan|chung-do-kwan|han-moo-kwan|ji-do-kwan|jung-do-kwan|song-moo-kwan,junior,,"Trigram Jin (진, ☳), thunder. Great power and dignity; danger met with courage.",1965-1967; adopted 1967; superseded 1972,Korea Taekwondo Association poomsae committee (1965-67),,None; replaced rather than revised,Frozen 1967,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),,Original KTA composition.,"jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo'"
Palgwae Sam Jang,팔괘 3장 / 八卦 三章,,korean,kukki-taekwondo|taekwondo|chang-moo-kwan|chung-do-kwan|han-moo-kwan|ji-do-kwan|jung-do-kwan|song-moo-kwan,junior,,"Trigram Ri (리, ☲), fire and the sun. Warmth, enthusiasm and hope.",1965-1967; adopted 1967; superseded 1972,Korea Taekwondo Association poomsae committee (1965-67),,None; replaced rather than revised,Frozen 1967,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),,Original KTA composition.,"jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo'"
Palgwae Yuk Jang,팔괘 6장 / 八卦 六章,,korean,kukki-taekwondo|taekwondo|chang-moo-kwan|chung-do-kwan|han-moo-kwan|ji-do-kwan|jung-do-kwan|song-moo-kwan,junior,,"Trigram Gam (감, ☵), water. Ceaseless flow; hardship overcome by constancy.",1965-1967; adopted 1967; superseded 1972,Korea Taekwondo Association poomsae committee (1965-67),,None; replaced rather than revised,Frozen 1967,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created),,Original KTA composition.,"jungdokwan-taekwondo.blogspot.com (2020) | Kidokwan, 'A Modern History of Taekwondo'"
Palgwae series,팔괘 (八卦),Palgue; Palgwae Il Jang to Pal Jang,korean,kukki-taekwondo|taekwondo|chung-do-kwan|ji-do-kwan,junior,,"'Eight trigrams' (palgwae = bagua): eight forms keyed to the eight trigrams of the I Ching, from Keon (heaven) to Gon (earth), representing the full range of natural phenomena.","Created 1965-1967, adopted 1967; superseded 1971-1972",Korea Taekwondo Association poomsae committee,"Seoul, South Korea",,,Lee Chong-woo (created); Lee Kyo-yoon (created),,"The KTA's first unified coloured-belt set, drafted by a committee drawn from a subset of kwans (including Lee Chong-woo of Jidokwan and Lee Kyo-yoon of Hanmookwan, with Kwak Kun-sik, Hyun Jong-myun, Park Hae-man, Kim Soon-bae and others); because major kwans were unrepresented, an expanded committee replaced the set with the Taegeuk poomsae in 1971-1972, though many schools still teach Palgwae. Colour-belt curriculum of the early KTA.",https://en.wikipedia.org/wiki/Hyeong | https://www.kukkiwon.or.kr
Po-Eun,포은 / 圃隱,Po-Eun tul,korean,itf-taekwondo|taekwondo|gtf|itf-chang-ung|itf-choi-jung-hwa|itf-weiler,middle,,"Pen name of Chong Mong-chu (1400), a loyalist poet and physicist of the Koryo dynasty, remembered for the line 'I would not serve a second master though I might be crucified a hundred times'. 36 movements; performed entirely along a straight line to symbolise unswerving loyalty.","1962-1964, Malaysia period",Choi Hong-hi with the Malaysia-period pattern team,South Korea,Choi Hong-hi,1965; revised 1983,Choi Hong-hi (created); Kim Bok-man (created); Woo Jae-lim (created),yes,Original Chang Hon composition.,"Choi Hong-hi, Encyclopedia of Taekwon-Do (1983) | Kim Bok Man, Practical Taekwondo (2015)"
Pyong-Hwa,평화 / 平和,,korean,gtf|taekwondo,,,"'Peace', the aspiration for reconciliation on the Korean peninsula, standing in the GTF canon roughly where Tong-Il stands in the ITF's.",c. 1990,Park Jung-tae,Canada,Park Jung-tae,1990-2002,Park Jung-tae (created),,Original GTF composition.,"GTF syllabus, taekwondo.global"
Pyongwon,평원 / 平原,Pyungwon,korean,kukki-taekwondo|taekwondo,senior,,"'Plain' or open plateau, the vast fertile land that sustains human life. The performance line traces the hanja 一, the single horizontal stroke of the plain.",1965-1967; adopted 1967,Korea Taekwondo Association poomsae committee (1965-67),"Seoul, South Korea",Kukkiwon Textbook editorial revisions,1975 onwards,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created); Lee Chong-woo (created),yes,Original KTA composition. Fourth dan poomsae.,jungdokwan-taekwondo.blogspot.com (2020) | Kukkiwon Textbook
Pyung Ahn Cho Dan,평안 초단 / 平安 初段,,korean,chung-do-kwan|moo-duk-kwan|song-moo-kwan|soo-bahk-do|taekwondo|tang-soo-do,junior,,"'Peaceful confidence, first level'. Corresponds to Pinan Nidan in the Okinawan order (Itosu's second form), which Funakoshi reversed with Shodan; Tang Soo Do follows the Shotokan Heian order.",Pinan created c. 1904-1907; in Korea from the mid-1940s,Anko Itosu,"Shuri, Okinawa","Hwang Kee, Won Kuk Lee and Byung Jick Ro (Korean renderings)",Korean versions fixed between 1945 and 1958,Anko Itosu (created); Gichin Funakoshi (renamed); Won Kuk Lee (brought); Byung Jick Ro (brought); Hwang Kee (brought),yes,"DERIVES FROM Pinan Shodan / Heian Shodan. Carried to Korea by Won Kuk Lee (from Funakoshi, Tokyo), Byung Jick Ro (also from Funakoshi, Tokyo) and adopted by Hwang Kee at Moo Duk Kwan.","Mark Bishop, Okinawan Karate, Appendix C | Hwang Kee, Tang Soo Do (Soo Bahk Do), 1978 | Gichin Funakoshi, Karate-do Kyohan"
Pyung Ahn Ee Dan,평안 이단 / 平安 二段,,korean,chung-do-kwan|moo-duk-kwan|song-moo-kwan|soo-bahk-do|taekwondo|tang-soo-do,junior,,"'Peaceful confidence, second level'. Corresponds to Pinan Shodan in the Okinawan order.",Pinan c. 1904-1907; in Korea from the mid-1940s,Anko Itosu,"Shuri, Okinawa","Hwang Kee, Won Kuk Lee, Byung Jick Ro",1945-1958,Anko Itosu (created); Won Kuk Lee (brought); Byung Jick Ro (brought); Hwang Kee (brought),yes,"DERIVES FROM Pinan Nidan / Heian Nidan, brought across by Won Kuk Lee and Byung Jick Ro from Funakoshi's Shotokan.","Mark Bishop, Okinawan Karate, Appendix C | Hwang Kee, Tang Soo Do (Soo Bahk Do), 1978"
Pyung Ahn O Dan,평안 오단 / 平安 五段,,korean,chung-do-kwan|moo-duk-kwan|song-moo-kwan|soo-bahk-do|taekwondo|tang-soo-do,middle,,"'Peaceful confidence, fifth level'. The final and technically densest of the set.",Pinan c. 1904-1907; in Korea from the mid-1940s,Anko Itosu,"Shuri, Okinawa","Hwang Kee, Won Kuk Lee, Byung Jick Ro",1945-1958,Anko Itosu (created); Won Kuk Lee (brought); Byung Jick Ro (brought); Hwang Kee (brought),yes,DERIVES FROM Pinan Godan / Heian Godan.,"Mark Bishop, Okinawan Karate, Appendix C | Hwang Kee, Tang Soo Do (Soo Bahk Do), 1978"
Pyung Ahn Sa Dan,평안 사단 / 平安 四段,,korean,chung-do-kwan|moo-duk-kwan|song-moo-kwan|soo-bahk-do|taekwondo|tang-soo-do,junior,,"'Peaceful confidence, fourth level'.",Pinan c. 1904-1907; in Korea from the mid-1940s,Anko Itosu,"Shuri, Okinawa","Hwang Kee, Won Kuk Lee, Byung Jick Ro",1945-1958,Anko Itosu (created); Won Kuk Lee (brought); Byung Jick Ro (brought); Hwang Kee (brought),yes,DERIVES FROM Pinan Yondan / Heian Yondan.,"Mark Bishop, Okinawan Karate, Appendix C | Hwang Kee, Tang Soo Do (Soo Bahk Do), 1978"
Pyung Ahn Sam Dan,평안 삼단 / 平安 三段,,korean,chung-do-kwan|moo-duk-kwan|song-moo-kwan|soo-bahk-do|taekwondo|tang-soo-do,junior,,"'Peaceful confidence, third level'.",Pinan c. 1904-1907; in Korea from the mid-1940s,Anko Itosu,"Shuri, Okinawa","Hwang Kee, Won Kuk Lee, Byung Jick Ro",1945-1958,Anko Itosu (created); Won Kuk Lee (brought); Byung Jick Ro (brought); Hwang Kee (brought),yes,DERIVES FROM Pinan Sandan / Heian Sandan.,"Mark Bishop, Okinawan Karate, Appendix C | Hwang Kee, Tang Soo Do (Soo Bahk Do), 1978"
Pyung Ahn series,평안 (平安),Heian; Pinan; Pyong An; Pyung Ahn Cho Dan to Oh Dan; Pyung An,korean,tang-soo-do|soo-bahk-do|moo-duk-kwan|chung-do-kwan|song-moo-kwan|taekwondo|chun-kuk-do,junior,,"'Peaceful confidence' or 'safety and calm': the Korean reading of Pinan (平安), Itosu's name expressing that mastery of the five forms lets one defend oneself with a calm mind.",Created c. 1904-1907; in Korea from mid-1940s,Anko Itosu,"Shuri, Okinawa; brought to Seoul, Korea",,,Anko Itosu (created); Won Kuk Lee (brought); Byung Jick Ro (brought); Hwang Kee (brought),,"Itosu's five Pinan (drawn largely from Kusanku and Channan) reached Korea as Shotokan's Heian through Won Kuk Lee (Chung Do Kwan) and Byung Jick Ro (Song Moo Kwan), both Funakoshi students, while Hwang Kee learned them substantially from Japanese karate books; Yun Kwae-byung's Ji Do Kwan transmitted Shudokan/Shito-ryu versions. They remain the core geup forms of Tang Soo Do and early taekwondo. Korean recension of Itosu's Pinan series.",https://en.wikipedia.org/wiki/Pinan | https://en.wikipedia.org/wiki/Tang_Soo_Do
Saeara,새아라,,korean,kukki-taekwondo|taekwondo,,,'New sea' or new ocean. Competition poomsae for competitors in their 30s and 40s.,Announced September 2016,Kukkiwon and Asian Taekwondo Union joint development committee,,Kukkiwon technical committee,2016-2018,Kukkiwon technical committee (individual authors not published) (created),,Newly composed competition poomsae.,"Kukkiwon / Asian Taekwondo Union announcement, September 2016"
Saebyeol,새별,,korean,kukki-taekwondo|taekwondo,,,'New star'. Competition poomsae for competitors aged 18 to 30.,Announced September 2016,Kukkiwon and Asian Taekwondo Union joint development committee,,Kukkiwon technical committee,2016-2018,Kukkiwon technical committee (individual authors not published) (created),,Newly composed competition poomsae.,"Kukkiwon / Asian Taekwondo Union announcement, September 2016"
Saju Jirugi / Saju Makgi,사주 지르기 / 사주 막기,Four-Direction Block; Four-Direction Punch,korean,itf-taekwondo|oh-do-kwan|taekwondo,junior,,"'Four-direction punch' and 'four-direction block': pre-pattern fundamental exercises teaching turning, blocking and punching to the four compass points before the student learns Chon-Ji.",c. 1955-1960s,Choi Hong-hi and early Oh Do Kwan instructors,South Korea,,,Choi Hong-hi (created); Nam Tae-hi (created),,"Introductory exercises of the Chang Hon system, codified in Choi Hong-hi's Taekwon-Do texts and the 1983 Encyclopedia; not counted among the 24 tul. Four-direction punch and block exercises, the ITF entry point.",https://en.wikipedia.org/wiki/Hyeong | https://taekwondo.fandom.com/wiki/Saju_Jirugi
Saju Tulgi,사주 뚫기,,korean,itf-taekwondo|oh-do-kwan|taekwondo,junior,,"'Four-direction thrust'. A pre-pattern exercise drilling the straight fingertip thrust and guarding block in four directions, taught alongside Saju Jirugi (four-direction punch) and Saju Makgi (four-direction block).",c. 1955-1965,Choi Hong-hi and early Oh Do Kwan instructors,,Choi Hong-hi,Codified in the 1983 Encyclopedia,Choi Hong-hi (created); Nam Tae-hi (created),yes,"Original Chang Hon teaching exercise, modelled on the four-direction basic drills common to Shotokan-derived Korean kwans. Not counted among the 24 tul.","Choi Hong-hi, Encyclopedia of Taekwon-Do (1983), volume on fundamental exercises | ITF and GTF gup syllabi"
Sam-Il,삼일 / 三一,Sam-Il tul,korean,itf-taekwondo|taekwondo|gtf|itf-chang-ung|itf-choi-jung-hwa|itf-weiler,senior,,"'Three-one', denoting 1 March 1919, the date of the Korean independence movement. 33 movements represent the 33 patriots who planned it.","1962-1964, Malaysia period",Choi Hong-hi with the Malaysia-period pattern team,South Korea,Choi Hong-hi,1965; revised 1983,Choi Hong-hi (created); Kim Bok-man (created); Woo Jae-lim (created),yes,Original Chang Hon composition.,"Choi Hong-hi, Encyclopedia of Taekwon-Do (1983) | Kim Bok Man, Practical Taekwondo (2015)"
Se-Jong,세종 / 世宗,Se-Jong tul,korean,itf-taekwondo|taekwondo|gtf|itf-chang-ung|itf-choi-jung-hwa|itf-weiler,senior,,"Named for King Sejong the Great, who invented the Korean alphabet in 1443 and was a noted meteorologist. 24 movements represent the 24 letters of the Korean alphabet; the diagram represents the character for 'king'.","1962-1964, Malaysia period",Choi Hong-hi with the Malaysia-period pattern team,South Korea,Choi Hong-hi,1965; revised 1983,Choi Hong-hi (created); Kim Bok-man (created),yes,Original Chang Hon composition.,"Choi Hong-hi, Encyclopedia of Taekwon-Do (1983) | Kim Bok Man, Practical Taekwondo (2015)"
Sei Shan,세산 / 十三,,korean,moo-duk-kwan|soo-bahk-do|tang-soo-do,senior,,"'Thirteen', usually explained as thirteen hands, thirteen techniques or thirteen postures. In Korean Shotokan-derived lineages also called Ban Wal ('half moon'), after Funakoshi's Hangetsu.",Seisan 17th-19th century; in Korea from the mid-1940s,"Origin unknown; among the oldest kata in the Okinawan repertoire, of Fujian Chinese derivation","Naha and Shuri, Okinawa; ultimately Fujian",Gichin Funakoshi (Hangetsu); Hwang Kee (Korean version),Hangetsu fixed c. 1935; Korean version 1945-1958,Gichin Funakoshi (renamed); Won Kuk Lee (brought); Hwang Kee (brought),yes,DERIVES FROM Seisan by way of Funakoshi's Hangetsu. Brought to Korea by Won Kuk Lee and Byung Jick Ro from Tokyo; taught by Hwang Kee in the Moo Duk Kwan dan syllabus.,"Mark Bishop, Okinawan Karate, Appendix C | Gichin Funakoshi, Karate-do Kyohan | Hwang Kee, Tang Soo Do (Soo Bahk Do), 1978"
Shim Jun,심준 / 心準,,korean,songahm-taekwondo|taekwondo,middle,,"'Reaching a level of purity of mind'. First-degree black belt form; 81 movements, that is 9 x 9.",1983 onwards,Haeng Ung Lee,"Little Rock, Arkansas",ATA technical committee,1980s-1990s,Haeng Ung Lee (created),,Original ATA composition. The nine black-belt forms culminate in the ninth-degree form of 99 movements.,ATA Songahm Taekwondo curriculum materials
Sip Soo,십수 (十手),Jitte; Jutte; Ship Soo,korean,tang-soo-do|soo-bahk-do|moo-duk-kwan|taekwondo,senior,,"'Ten hands': the Korean reading of Jitte (十手), traditionally meaning one who masters the kata fights with the strength of ten men.",Jitte 19th century; in Korea from mid-1940s,Unknown; Tomari-te kata standardised through Itosu,"Tomari, Okinawa; brought to Seoul, Korea",,,Anko Itosu (standardised); Hwang Kee (brought); Won Kuk Lee (brought),,"Derives from the Tomari-te kata Jitte as codified in Shotokan; in Moo Duk Kwan Tang Soo Do it is a dan-grade hyung noted for its slow, heavy pressing techniques and bo-defence interpretations. Korean recension of Jitte.",https://en.wikipedia.org/wiki/Tang_Soo_Do | https://en.wikipedia.org/wiki/Karate_kata
Sipjin,십진 / 十進,Shipjin,korean,kukki-taekwondo|taekwondo,senior,,"'Decimal', from the ten sipjangsaeng or symbols of longevity: sun, moon, mountain, water, stone, pine, herb of eternal youth, tortoise, deer and crane. The performance line traces the hanja 十 (ten).",1965-1967; adopted 1967,Korea Taekwondo Association poomsae committee (1965-67),"Seoul, South Korea",Kukkiwon Textbook editorial revisions,1975 onwards,Kwak Kun-sik (created); Park Hae-man (created); Hyun Jong-myun (created); Lee Yong-sup (created); Lee Kyo-yoon (created); Kim Soon-bae (created); Lee Chong-woo (created),yes,"Original KTA composition. Fifth dan poomsae; the most technically eclectic of the set, with several movements resembling Okinawan Naha-te shapes.",Kukkiwon Textbook | jungdokwan-taekwondo.blogspot.com (2020) | comparative kata analyses in taekwondo historiography
So-San,서산 / 西山,So-San tul,korean,itf-taekwondo|taekwondo|gtf|itf-chang-ung|itf-choi-jung-hwa|itf-weiler,senior,,"Pen name of the great monk Choi Hyong-ung (1520-1604) of the Yi dynasty. 72 movements refer to his age when he organised a corps of monk soldiers with the help of his pupil Sa Myung Dang, and helped repel the Japanese pirates who overran most of the peninsula in 1592.","1962-1964, Malaysia period",Choi Hong-hi with the Malaysia-period pattern team,South Korea,Choi Hong-hi,1965; revised 1983,Choi Hong-hi (created); Kim Bok-man (created); Woo Jae-lim (created),yes,Original Chang Hon composition.,"Choi Hong-hi, Encyclopedia of Taekwon-Do (1983) | Kim Bok Man, Practical Taekwondo (2015)"
Songahm Ee Jang,송암 2장 / 松岩 二章,,korean,songahm-taekwondo|taekwondo,junior,,Second of the Songahm colour-belt forms; 23 movements.,1983 onwards,Haeng Ung Lee,"Little Rock, Arkansas",ATA technical committee,1980s-1990s,Haeng Ung Lee (created),,Original ATA composition.,ATA Songahm Taekwondo curriculum materials
Songahm Il Jang,송암 1장 / 松岩 一章,,korean,songahm-taekwondo|taekwondo,junior,,"'Pine tree, rock', signifying evergreen strength on an immovable foundation. 18 movements, that is 2 x 9, nine being the significant number in the Songahm system (nine colour-belt grades, nine dan grades).",1983 (Songahm forms introduced); system completed through the 1990s,Haeng Ung Lee (H.U. Lee),"Little Rock, Arkansas, United States",ATA technical committee under H.U. Lee,Refined through the 1980s and 1990s; the full 18-form system settled by c. 1997,Haeng Ung Lee (created),,"Original composition, written expressly to replace the karate-derived Chang Hon and Palgwae forms then taught in the ATA with a set presented as purely Korean. No Okinawan antecedent.","ATA Songahm Taekwondo curriculum materials | ATA / Engage Martial Arts, 'Songahm Star & ATA Forms'"
Songahm Oh Jang,송암 5장 / 松岩 五章,,korean,songahm-taekwondo|taekwondo,junior,,Fifth and last of the numbered Songahm colour-belt forms; 34 movements.,1983 onwards,Haeng Ung Lee,"Little Rock, Arkansas",ATA technical committee,1980s-1990s,Haeng Ung Lee (created),,Original ATA composition.,ATA Songahm Taekwondo curriculum materials
Songahm Sa Jang,송암 4장 / 松岩 四章,,korean,songahm-taekwondo|taekwondo,junior,,Fourth of the Songahm colour-belt forms; 31 movements.,1983 onwards,Haeng Ung Lee,"Little Rock, Arkansas",ATA technical committee,1980s-1990s,Haeng Ung Lee (created),,Original ATA composition.,ATA Songahm Taekwondo curriculum materials
Songahm Sam Jang,송암 3장 / 松岩 三章,,korean,songahm-taekwondo|taekwondo,junior,,Third of the Songahm colour-belt forms; 28 movements.,1983 onwards,Haeng Ung Lee,"Little Rock, Arkansas",ATA technical committee,1980s-1990s,Haeng Ung Lee (created),,Original ATA composition.,ATA Songahm Taekwondo curriculum materials
